transaction_id,date,region,product,amount
TX1236,2019-01-07,emea,gadget,782.25
TX1237,2019-01-07,apac,thingamajig,221.95
TX1238,2019-01-07,apac,widget,686.69
TX1243,2019-01-07,amer,doohickey,25.53
TX1245,2019-01-07,amer,gadget,270.88
TX1248,2019-01-07,amer,thingamajig,125.92
TX1251,2019-01-07,emea,widget,639.88
TX1255,2019-01-07,emea,widget,237.95
TX1260,2019-01-07,amer,gadget,62.53
TX1263,2019-01-07,apac,doohickey,515.6
TX1265,2019-01-08,amer,widget,143.38
TX1271,2019-01-08,amer,widget,412.72
TX1273,2019-01-08,emea,gadget,78.72
TX1276,2019-01-08,apac,doohickey,84.43
TX1278,2019-01-08,amer,thingamajig,284.15
TX1281,2019-01-08,emea,widget,570.78
TX1287,2019-01-08,amer,widget,137.22
TX1288,2019-01-08,apac,doohickey,102.39
TX1290,2019-01-08,latam,widget,329.44
TX1291,2019-01-08,apac,widget,23.77
TX1298,2019-01-08,apac,thingamajig,115.59
TX1300,2019-01-08,amer,widget,15.25
TX1302,2019-01-09,emea,doohickey,280.02
TX1309,2019-01-09,latam,gadget,201.97
TX1311,2019-01-09,apac,thingamajig,484.9
TX1312,2019-01-09,amer,thingamajig,52.44
TX1319,2019-01-09,apac,doohickey,271.01
TX1321,2019-01-09,emea,thingamajig,376.57
TX1328,2019-01-09,latam,gadget,14.48
TX1330,2019-01-09,latam,doohickey,412.04
TX1333,2019-01-09,apac,gadget,417.27
TX1334,2019-01-09,latam,doohickey,263.94
TX1337,2019-01-09,amer,doohickey,484.45
TX1343,2019-01-09,amer,widget,175.91
TX1344,2019-01-09,amer,gadget,508.01
TX1345,2019-01-10,latam,doohickey,32.54
TX1351,2019-01-10,latam,widget,375.51
TX1355,2019-01-10,apac,doohickey,556.43
TX1356,2019-01-10,emea,gadget,301.09
TX1359,2019-01-10,amer,doohickey,140.46
TX1365,2019-01-10,amer,doohickey,457.15
TX1371,2019-01-10,latam,doohickey,130.98
TX1376,2019-01-10,latam,thingamajig,37.68
TX1382,2019-01-10,apac,doohickey,335.93
TX1386,2019-01-10,emea,doohickey,195.54
TX1389,2019-01-10,amer,thingamajig,61.63
TX1393,2019-01-10,apac,thingamajig,145.08
TX1399,2019-01-11,amer,widget,26.27
TX1406,2019-01-11,apac,doohickey,733.77
TX1408,2019-01-11,apac,widget,399.27
TX1409,2019-01-11,latam,widget,72.4
TX1413,2019-01-11,apac,thingamajig,133.45
TX1417,2019-01-11,apac,widget,127.46
TX1424,2019-01-11,emea,thingamajig,477.62
TX1426,2019-01-11,latam,widget,51.43
TX1431,2019-01-11,emea,thingamajig,73.79
TX1433,2019-01-11,amer,thingamajig,392.97
TX1440,2019-01-12,latam,gadget,574.66
TX1446,2019-01-12,latam,doohickey,479.44
TX1453,2019-01-12,amer,thingamajig,73.16
TX1459,2019-01-12,latam,widget,70.63
TX1465,2019-01-12,amer,doohickey,85.76
TX1468,2019-01-12,emea,gadget,541.44
TX1470,2019-01-12,apac,gadget,68.12
TX1471,2019-01-12,amer,thingamajig,133.62
TX1475,2019-01-12,latam,thingamajig,20.43
TX1482,2019-01-12,emea,thingamajig,215.54
TX1486,2019-01-12,amer,doohickey,6.42
TX1493,2019-01-12,latam,gadget,123.63
TX1497,2019-01-12,latam,thingamajig,64.45
TX1498,2019-01-12,latam,gadget,123.18
TX1500,2019-01-13,emea,thingamajig,952.71
TX1505,2019-01-13,emea,widget,204.44
TX1511,2019-01-13,latam,gadget,139.33
TX1512,2019-01-13,amer,gadget,77.32
TX1516,2019-01-13,latam,doohickey,99.99
TX1523,2019-01-13,latam,doohickey,729.83
TX1530,2019-01-13,emea,widget,25.51
TX1533,2019-01-13,emea,widget,65.93
TX1540,2019-01-13,apac,gadget,12.57
TX1547,2019-01-13,apac,gadget,9.94
TX1549,2019-01-13,emea,gadget,158.99
TX1553,2019-01-13,amer,gadget,293.53
TX1558,2019-01-13,emea,gadget,229.3
TX1561,2019-01-13,emea,doohickey,32.46
TX1566,2019-01-13,latam,thingamajig,276.48
TX1567,2019-01-14,apac,widget,220.21
TX1573,2019-01-14,emea,widget,360.33
TX1576,2019-01-14,amer,widget,187.61
TX1581,2019-01-14,emea,thingamajig,255.28
TX1588,2019-01-14,latam,doohickey,166.7
TX1594,2019-01-14,latam,gadget,538.21
TX1598,2019-01-14,amer,thingamajig,51.5
TX1602,2019-01-14,amer,doohickey,142.27
TX1609,2019-01-14,emea,doohickey,72.61
TX1613,2019-01-14,latam,thingamajig,72.09
TX1616,2019-01-14,amer,gadget,11.99
TX1618,2019-01-15,amer,doohickey,110.18
TX1621,2019-01-15,amer,widget,514.5
TX1626,2019-01-15,emea,gadget,714.85
TX1632,2019-01-15,apac,thingamajig,130.18
TX1638,2019-01-15,latam,widget,303.62
TX1639,2019-01-15,latam,gadget,88.63
TX1642,2019-01-15,amer,thingamajig,266.73
TX1647,2019-01-15,latam,doohickey,186.68
TX1650,2019-01-15,amer,doohickey,296.25
TX1653,2019-01-15,apac,doohickey,67.9
TX1654,2019-01-15,apac,gadget,330.97
TX1656,2019-01-15,amer,doohickey,327.01
TX1657,2019-01-15,amer,gadget,434.01
TX1660,2019-01-15,emea,gadget,52.46
TX1663,2019-01-15,emea,doohickey,16.18
TX1669,2019-01-16,latam,widget,491.83
TX1676,2019-01-16,amer,thingamajig,7.96
TX1680,2019-01-16,apac,widget,144.36
TX1683,2019-01-16,latam,widget,684.51
TX1690,2019-01-16,latam,widget,21.22
TX1695,2019-01-16,emea,gadget,243.26
TX1697,2019-01-16,amer,widget,405.02
TX1699,2019-01-16,latam,gadget,35.26
TX1706,2019-01-16,latam,thingamajig,182.44
TX1709,2019-01-16,latam,doohickey,477.15
TX1714,2019-01-17,emea,gadget,778.18
TX1720,2019-01-17,emea,gadget,61.89
TX1722,2019-01-17,emea,gadget,50.82
TX1723,2019-01-17,latam,doohickey,131.03
TX1724,2019-01-17,amer,thingamajig,68.19
TX1725,2019-01-17,amer,gadget,284.07
TX1729,2019-01-17,apac,gadget,34.26
TX1732,2019-01-17,emea,widget,425.56
TX1739,2019-01-18,amer,thingamajig,93.23
TX1740,2019-01-18,amer,thingamajig,156.78
TX1743,2019-01-18,latam,thingamajig,171.58
TX1744,2019-01-18,latam,doohickey,223.73
TX1749,2019-01-18,emea,gadget,74.16
TX1755,2019-01-18,emea,doohickey,438.83
TX1760,2019-01-18,apac,thingamajig,14.86
TX1765,2019-01-18,amer,gadget,257.99
TX1770,2019-01-18,latam,widget,142.4
TX1774,2019-01-18,amer,doohickey,107.64
TX1781,2019-01-19,latam,thingamajig,47.08
TX1784,2019-01-19,latam,widget,265.74
TX1788,2019-01-19,amer,doohickey,27.12
TX1789,2019-01-19,latam,widget,848.06
TX1795,2019-01-19,latam,thingamajig,493.49
TX1796,2019-01-19,amer,thingamajig,54.86
TX1802,2019-01-19,emea,gadget,145.03
TX1805,2019-01-19,amer,thingamajig,196.23
TX1811,2019-01-19,emea,gadget,164.13
TX1814,2019-01-20,latam,widget,197.09
TX1816,2019-01-20,emea,thingamajig,1171.64
TX1817,2019-01-20,apac,thingamajig,255.39
TX1823,2019-01-20,amer,thingamajig,87.83
TX1830,2019-01-20,latam,gadget,163.1
TX1834,2019-01-20,latam,gadget,197.32
TX1839,2019-01-20,apac,widget,175.34
TX1842,2019-01-20,latam,doohickey,360.53
TX1849,2019-01-20,emea,doohickey,175.1
TX1855,2019-01-20,latam,gadget,90.11
TX1860,2019-01-21,amer,thingamajig,163.95
TX1864,2019-01-21,apac,gadget,653.21
TX1869,2019-01-21,latam,widget,120.88
TX1872,2019-01-21,latam,thingamajig,332.68
TX1878,2019-01-21,apac,thingamajig,382.31
TX1879,2019-01-21,amer,widget,37.39
TX1886,2019-01-21,emea,thingamajig,452.5
TX1887,2019-01-21,latam,gadget,312.62
TX1888,2019-01-21,amer,doohickey,157.14
TX1893,2019-01-21,emea,doohickey,288.19
TX1900,2019-01-21,latam,doohickey,274.27
TX1906,2019-01-21,latam,widget,309.41
TX1911,2019-01-21,amer,gadget,22.01
TX1917,2019-01-21,emea,widget,27.73
TX1921,2019-01-21,amer,widget,48.67
TX1924,2019-01-22,amer,doohickey,386.68
TX1927,2019-01-22,apac,thingamajig,140.2
TX1932,2019-01-22,apac,gadget,279.82
TX1934,2019-01-22,latam,gadget,24.74
TX1938,2019-01-22,apac,gadget,590.57
TX1942,2019-01-22,latam,doohickey,248.8
TX1948,2019-01-22,latam,doohickey,7.27
TX1954,2019-01-22,emea,thingamajig,194.83
TX1959,2019-01-23,latam,doohickey,90.31
TX1963,2019-01-23,apac,thingamajig,452.91
TX1970,2019-01-23,apac,thingamajig,163.43
TX1975,2019-01-23,amer,doohickey,111.72
TX1976,2019-01-23,latam,doohickey,920.41
TX1977,2019-01-23,emea,thingamajig,205.29
TX1984,2019-01-23,amer,gadget,567.81
TX1989,2019-01-23,apac,gadget,393.59
TX1994,2019-01-23,apac,widget,74.24
TX2000,2019-01-23,amer,thingamajig,254.46
TX2001,2019-01-23,apac,widget,212.96
TX2004,2019-01-23,latam,gadget,99.94
TX2006,2019-01-23,amer,doohickey,39.02
TX2009,2019-01-24,latam,doohickey,593.95
TX2015,2019-01-24,emea,thingamajig,495.39
TX2016,2019-01-24,apac,thingamajig,41.41
TX2023,2019-01-24,amer,widget,396.83
TX2030,2019-01-24,amer,widget,125.44
TX2034,2019-01-24,amer,thingamajig,115.35
TX2041,2019-01-24,amer,widget,249.23
TX2047,2019-01-24,emea,doohickey,68.92
TX2052,2019-01-24,emea,thingamajig,65.05
TX2058,2019-01-24,latam,widget,91.35
TX2059,2019-01-25,amer,thingamajig,706.67
TX2060,2019-01-25,apac,thingamajig,29.54
TX2064,2019-01-25,latam,gadget,116.27
TX2068,2019-01-25,latam,thingamajig,260.36
TX2071,2019-01-25,amer,gadget,12.98
TX2075,2019-01-25,apac,doohickey,146.18
TX2076,2019-01-25,amer,doohickey,955.28
TX2077,2019-01-25,apac,widget,126.86
TX2084,2019-01-25,emea,gadget,422.21
TX2090,2019-01-25,emea,widget,249.86
TX2092,2019-01-26,apac,widget,1083.49
TX2099,2019-01-26,apac,gadget,352.72
TX2106,2019-01-26,amer,gadget,494.09
TX2113,2019-01-26,emea,doohickey,558.9
TX2120,2019-01-26,apac,doohickey,997.86
TX2127,2019-01-26,emea,gadget,51.02
TX2128,2019-01-26,apac,doohickey,111.45
TX2129,2019-01-26,emea,gadget,50.95
TX2135,2019-01-26,emea,widget,136.13
TX2139,2019-01-26,amer,widget,147.73
TX2143,2019-01-26,emea,doohickey,173.21
TX2147,2019-01-26,emea,widget,252.43
TX2151,2019-01-26,latam,widget,456.02
TX2157,2019-01-27,emea,widget,582.11
TX2160,2019-01-27,emea,gadget,229.94
TX2163,2019-01-27,amer,thingamajig,239.96
TX2168,2019-01-27,latam,thingamajig,186.49
TX2169,2019-01-27,emea,gadget,383.12
TX2173,2019-01-27,apac,thingamajig,149.16
TX2176,2019-01-27,latam,thingamajig,426.65
TX2182,2019-01-27,latam,doohickey,28.98
TX2188,2019-01-27,apac,thingamajig,75.61
TX2189,2019-01-27,emea,widget,27.96
TX2193,2019-01-27,amer,gadget,29.37
TX2198,2019-01-27,amer,widget,19.85
TX2202,2019-01-27,latam,widget,109.72
TX2205,2019-01-27,amer,widget,225.16
TX2210,2019-01-27,apac,thingamajig,174.94
TX2217,2019-01-28,amer,widget,32.49
TX2224,2019-01-28,apac,thingamajig,83.36
TX2231,2019-01-28,emea,doohickey,202.56
TX2232,2019-01-28,amer,doohickey,52.75
TX2235,2019-01-28,apac,thingamajig,6.47
TX2236,2019-01-28,emea,widget,41.72
TX2242,2019-01-28,latam,thingamajig,186.45
TX2246,2019-01-28,amer,doohickey,105.05
TX2252,2019-01-28,emea,widget,99.11
TX2254,2019-01-28,emea,widget,46.11
TX2257,2019-01-28,latam,thingamajig,145.49
TX2261,2019-01-29,emea,doohickey,81.57
TX2265,2019-01-29,latam,doohickey,33.21
TX2266,2019-01-29,emea,widget,64.79
TX2268,2019-01-29,apac,gadget,91.09
TX2275,2019-01-29,amer,widget,75.82
TX2276,2019-01-29,latam,gadget,170.1
TX2278,2019-01-29,apac,doohickey,119.81
TX2279,2019-01-29,emea,thingamajig,126.43
TX2280,2019-01-29,emea,doohickey,152.78
TX2285,2019-01-29,latam,thingamajig,139.61
TX2288,2019-01-29,emea,doohickey,34.37
TX2290,2019-01-29,latam,doohickey,392.86
TX2291,2019-01-29,emea,gadget,142.75
TX2295,2019-01-29,emea,thingamajig,218.32
TX2302,2019-01-29,amer,gadget,94.15
TX2309,2019-01-30,emea,gadget,49.18
TX2316,2019-01-30,apac,gadget,108.16
TX2317,2019-01-30,apac,gadget,43.0
TX2322,2019-01-30,emea,gadget,44.82
TX2329,2019-01-30,latam,thingamajig,242.29
TX2335,2019-01-30,amer,doohickey,623.97
TX2337,2019-01-30,latam,thingamajig,144.05
TX2343,2019-01-30,amer,widget,91.57
TX2346,2019-01-30,amer,thingamajig,174.9
TX2350,2019-01-30,amer,doohickey,14.2
TX2351,2019-01-30,emea,thingamajig,253.33
TX2355,2019-01-30,emea,thingamajig,213.39
TX2362,2019-01-30,apac,doohickey,208.48
TX2367,2019-01-31,emea,thingamajig,44.25
TX2368,2019-01-31,amer,widget,404.8
TX2373,2019-01-31,emea,gadget,254.32
TX2379,2019-01-31,latam,gadget,143.2
TX2382,2019-01-31,amer,thingamajig,116.98
TX2386,2019-01-31,emea,doohickey,362.43
TX2387,2019-01-31,latam,doohickey,101.0
TX2390,2019-01-31,apac,doohickey,313.73
TX2391,2019-01-31,apac,doohickey,214.77
TX2394,2019-01-31,latam,gadget,828.82
TX2399,2019-01-31,emea,doohickey,301.13
TX2404,2019-01-31,amer,gadget,118.45
TX2410,2019-01-31,emea,thingamajig,296.23
TX2415,2019-01-31,amer,doohickey,112.8
TX2417,2019-01-31,amer,thingamajig,729.66
TX2419,2019-02-01,apac,widget,2564.28
TX2422,2019-02-01,emea,widget,451.56
TX2428,2019-02-01,apac,thingamajig,103.55
TX2430,2019-02-01,apac,thingamajig,47.49
TX2431,2019-02-01,apac,thingamajig,131.98
TX2436,2019-02-01,latam,gadget,85.49
TX2441,2019-02-01,latam,gadget,70.6
TX2444,2019-02-01,latam,thingamajig,277.2
TX2451,2019-02-01,latam,thingamajig,84.43
TX2453,2019-02-01,apac,doohickey,412.44
TX2454,2019-02-01,amer,widget,250.98
TX2457,2019-02-02,apac,doohickey,26.02
TX2461,2019-02-02,apac,thingamajig,570.71
TX2462,2019-02-02,apac,thingamajig,707.35
TX2465,2019-02-02,latam,widget,644.85
TX2469,2019-02-02,apac,thingamajig,172.32
TX2470,2019-02-02,emea,doohickey,117.77
TX2471,2019-02-02,amer,gadget,443.59
TX2473,2019-02-02,latam,gadget,14.37
TX2480,2019-02-02,latam,widget,298.42
TX2481,2019-02-03,apac,thingamajig,75.95
TX2482,2019-02-03,apac,doohickey,364.25
TX2483,2019-02-03,latam,thingamajig,16.74
TX2484,2019-02-03,latam,widget,33.2
TX2490,2019-02-03,apac,gadget,178.85
TX2493,2019-02-03,amer,gadget,139.59
TX2498,2019-02-03,emea,doohickey,134.32
TX2499,2019-02-03,emea,thingamajig,740.9
TX2506,2019-02-03,latam,doohickey,157.43
TX2512,2019-02-04,emea,doohickey,8.93
TX2514,2019-02-04,emea,doohickey,321.87
TX2516,2019-02-04,amer,gadget,15.88
TX2523,2019-02-04,latam,thingamajig,367.46
TX2529,2019-02-04,apac,widget,53.3
TX2535,2019-02-04,latam,widget,364.27
TX2538,2019-02-04,apac,widget,59.03
TX2541,2019-02-04,latam,thingamajig,655.07
TX2544,2019-02-04,apac,doohickey,13.95
TX2547,2019-02-04,emea,doohickey,480.56
TX2550,2019-02-04,amer,thingamajig,36.9
TX2554,2019-02-04,latam,doohickey,331.37
TX2558,2019-02-05,amer,doohickey,287.69
TX2565,2019-02-05,latam,widget,25.69
TX2569,2019-02-05,apac,doohickey,226.39
TX2572,2019-02-05,amer,doohickey,30.98
TX2575,2019-02-05,latam,gadget,146.71
TX2581,2019-02-05,latam,widget,145.84
TX2587,2019-02-05,amer,thingamajig,494.72
TX2590,2019-02-05,emea,widget,249.84
TX2596,2019-02-05,amer,gadget,248.54
TX2597,2019-02-05,latam,widget,41.97
TX2598,2019-02-06,amer,doohickey,69.6
TX2602,2019-02-06,emea,gadget,721.43
TX2608,2019-02-06,amer,doohickey,148.45
TX2612,2019-02-06,apac,doohickey,350.61
TX2616,2019-02-06,amer,gadget,95.59
TX2617,2019-02-06,apac,thingamajig,11.3
TX2622,2019-02-06,emea,doohickey,122.45
TX2629,2019-02-06,latam,gadget,77.36
TX2634,2019-02-06,latam,gadget,85.71
TX2635,2019-02-06,emea,thingamajig,40.01
TX2641,2019-02-07,emea,doohickey,146.36
TX2647,2019-02-07,emea,doohickey,107.44
TX2650,2019-02-07,apac,doohickey,462.5
TX2655,2019-02-07,apac,gadget,65.94
TX2657,2019-02-07,emea,doohickey,379.98
TX2662,2019-02-07,latam,gadget,208.83
TX2667,2019-02-07,emea,doohickey,522.51
TX2671,2019-02-07,latam,thingamajig,1879.82
TX2678,2019-02-07,emea,gadget,131.4
TX2681,2019-02-07,latam,thingamajig,251.76
TX2683,2019-02-08,apac,gadget,509.82
TX2687,2019-02-08,emea,widget,172.73
TX2692,2019-02-08,apac,gadget,44.86
TX2695,2019-02-08,apac,doohickey,660.04
TX2700,2019-02-08,emea,doohickey,545.74
TX2702,2019-02-08,amer,gadget,246.92
TX2708,2019-02-08,emea,gadget,91.57
TX2713,2019-02-08,apac,gadget,686.73
TX2719,2019-02-08,amer,widget,240.07
TX2726,2019-02-08,emea,widget,483.44
TX2732,2019-02-08,amer,gadget,358.79
TX2739,2019-02-08,emea,thingamajig,208.75
TX2745,2019-02-08,amer,thingamajig,194.29
TX2752,2019-02-09,latam,doohickey,400.25
TX2756,2019-02-09,emea,gadget,23.19
TX2760,2019-02-09,latam,gadget,133.93
TX2763,2019-02-09,amer,doohickey,228.94
TX2769,2019-02-09,amer,thingamajig,1066.95
TX2771,2019-02-09,emea,doohickey,348.17
TX2773,2019-02-09,amer,thingamajig,155.78
TX2775,2019-02-09,emea,doohickey,41.44
TX2779,2019-02-09,latam,gadget,484.11
TX2786,2019-02-09,amer,doohickey,563.23
TX2788,2019-02-09,latam,thingamajig,350.65
TX2791,2019-02-10,emea,thingamajig,170.1
TX2796,2019-02-10,apac,gadget,151.66
TX2801,2019-02-10,emea,doohickey,109.46
TX2805,2019-02-10,latam,doohickey,223.43
TX2810,2019-02-10,emea,thingamajig,6.97
TX2812,2019-02-10,amer,thingamajig,518.83
TX2815,2019-02-10,emea,gadget,16.11
TX2818,2019-02-10,emea,thingamajig,198.37
TX2823,2019-02-10,amer,widget,148.64
TX2825,2019-02-10,latam,doohickey,891.13
TX2832,2019-02-10,amer,gadget,1043.39
TX2834,2019-02-10,latam,widget,226.39
TX2835,2019-02-10,amer,thingamajig,14.53
TX2840,2019-02-10,apac,doohickey,151.55
TX2845,2019-02-10,latam,doohickey,97.04
TX2850,2019-02-11,latam,doohickey,427.87
TX2854,2019-02-11,amer,doohickey,410.95
TX2860,2019-02-11,latam,doohickey,32.86
TX2867,2019-02-11,emea,thingamajig,554.68
TX2870,2019-02-11,apac,widget,824.21
TX2875,2019-02-11,latam,gadget,162.15
TX2882,2019-02-11,emea,widget,279.01
TX2884,2019-02-11,amer,thingamajig,9.59
TX2886,2019-02-11,apac,thingamajig,132.84
TX2891,2019-02-11,latam,widget,362.97
TX2897,2019-02-11,apac,doohickey,40.66
TX2903,2019-02-11,latam,doohickey,161.19
TX2905,2019-02-11,amer,doohickey,152.74
TX2910,2019-02-12,apac,doohickey,163.88
TX2915,2019-02-12,amer,doohickey,90.09
TX2921,2019-02-12,latam,doohickey,60.75
TX2925,2019-02-12,amer,doohickey,107.95
TX2926,2019-02-12,latam,thingamajig,209.5
TX2933,2019-02-12,apac,doohickey,106.6
TX2934,2019-02-12,emea,doohickey,86.4
TX2938,2019-02-12,latam,gadget,261.09
TX2940,2019-02-12,amer,doohickey,427.4
TX2942,2019-02-12,apac,gadget,32.76
TX2943,2019-02-12,apac,gadget,270.96
TX2944,2019-02-12,amer,thingamajig,30.34
TX2950,2019-02-13,emea,gadget,358.52
TX2954,2019-02-13,latam,thingamajig,258.95
TX2960,2019-02-13,amer,doohickey,58.39
TX2963,2019-02-13,emea,gadget,254.16
TX2968,2019-02-13,emea,gadget,327.09
TX2972,2019-02-13,apac,widget,518.4
TX2979,2019-02-13,latam,gadget,126.4
TX2985,2019-02-13,amer,widget,790.67
TX2986,2019-02-13,emea,doohickey,90.05
TX2990,2019-02-14,latam,gadget,1089.55
TX2997,2019-02-14,amer,gadget,173.39
TX3004,2019-02-14,apac,thingamajig,33.68
TX3010,2019-02-14,apac,widget,76.38
TX3016,2019-02-14,amer,gadget,103.68
TX3018,2019-02-14,latam,thingamajig,231.57
TX3023,2019-02-14,latam,widget,100.37
TX3025,2019-02-14,latam,doohickey,965.01
TX3027,2019-02-14,latam,gadget,6.64
TX3031,2019-02-14,amer,doohickey,341.34
TX3036,2019-02-14,emea,doohickey,313.0
TX3042,2019-02-14,apac,widget,111.94
TX3046,2019-02-15,latam,doohickey,92.95
TX3052,2019-02-15,amer,doohickey,34.98
TX3057,2019-02-15,apac,thingamajig,64.89
TX3059,2019-02-15,amer,thingamajig,150.66
TX3065,2019-02-15,latam,gadget,196.23
TX3072,2019-02-15,emea,thingamajig,73.23
TX3077,2019-02-15,emea,widget,296.99
TX3078,2019-02-15,apac,gadget,428.55
TX3080,2019-02-15,latam,widget,100.44
TX3086,2019-02-16,emea,thingamajig,215.01
TX3093,2019-02-16,apac,thingamajig,18.74
TX3097,2019-02-16,latam,doohickey,204.18
TX3103,2019-02-16,amer,widget,10.28
TX3109,2019-02-16,emea,widget,63.99
TX3113,2019-02-16,emea,widget,106.38
TX3114,2019-02-16,latam,widget,1031.85
TX3117,2019-02-16,apac,thingamajig,131.17
TX3120,2019-02-16,latam,thingamajig,1190.98
TX3127,2019-02-16,latam,thingamajig,602.67
TX3128,2019-02-16,apac,doohickey,280.52
TX3130,2019-02-17,latam,gadget,1190.65
TX3136,2019-02-17,emea,widget,929.05
TX3139,2019-02-17,latam,thingamajig,154.22
TX3146,2019-02-17,latam,doohickey,67.62
TX3148,2019-02-17,emea,widget,82.4
TX3155,2019-02-17,emea,gadget,264.05
TX3157,2019-02-17,emea,thingamajig,21.72
TX3162,2019-02-17,emea,gadget,272.56
TX3168,2019-02-17,latam,gadget,15.86
TX3175,2019-02-18,emea,gadget,483.35
TX3180,2019-02-18,apac,doohickey,1213.02
TX3185,2019-02-18,amer,gadget,223.66
TX3188,2019-02-18,apac,thingamajig,506.49
TX3191,2019-02-18,apac,thingamajig,82.23
TX3196,2019-02-18,amer,thingamajig,169.26
TX3203,2019-02-18,latam,thingamajig,183.39
TX3205,2019-02-18,apac,thingamajig,90.56
TX3207,2019-02-18,amer,gadget,459.26
TX3214,2019-02-18,emea,thingamajig,154.23
TX3218,2019-02-18,apac,thingamajig,200.56
TX3221,2019-02-19,emea,thingamajig,59.56
TX3228,2019-02-19,apac,widget,116.3
TX3231,2019-02-19,emea,widget,118.63
TX3233,2019-02-19,apac,thingamajig,396.91
TX3235,2019-02-19,amer,doohickey,493.68
TX3236,2019-02-19,apac,widget,62.12
TX3242,2019-02-19,latam,gadget,1866.54
TX3248,2019-02-19,apac,thingamajig,227.57
TX3250,2019-02-19,amer,thingamajig,197.75
TX3254,2019-02-19,amer,doohickey,188.08
TX3257,2019-02-19,latam,thingamajig,111.98
TX3264,2019-02-20,latam,doohickey,960.25
TX3266,2019-02-20,latam,widget,116.16
TX3271,2019-02-20,apac,widget,483.97
TX3274,2019-02-20,latam,doohickey,198.41
TX3276,2019-02-20,apac,thingamajig,57.41
TX3281,2019-02-20,latam,doohickey,435.06
TX3284,2019-02-20,latam,thingamajig,350.89
TX3288,2019-02-20,amer,gadget,49.21
TX3290,2019-02-20,latam,gadget,310.78
TX3295,2019-02-21,emea,widget,13.26
TX3302,2019-02-21,apac,gadget,6.54
TX3303,2019-02-21,emea,gadget,299.76
TX3308,2019-02-21,emea,thingamajig,151.12
TX3314,2019-02-21,emea,thingamajig,165.6
TX3315,2019-02-21,amer,doohickey,9.05
TX3316,2019-02-21,latam,gadget,172.42
TX3317,2019-02-21,apac,gadget,605.39
TX3322,2019-02-22,amer,doohickey,184.4
TX3329,2019-02-22,amer,thingamajig,126.36
TX3333,2019-02-22,apac,doohickey,204.78
TX3339,2019-02-22,emea,widget,427.55
TX3340,2019-02-22,latam,thingamajig,129.72
TX3341,2019-02-22,apac,widget,248.04
TX3345,2019-02-22,amer,widget,452.95
TX3350,2019-02-22,apac,gadget,608.64
TX3357,2019-02-22,latam,doohickey,287.86
TX3358,2019-02-22,amer,widget,623.99
